,listing_id,description,room_type
8430,16202962,"Stunning modern 1BR APT, 15min from grand central",entire home/apt
8431,16204030,Penthouse + private patio in Williamsburg,entire home/apt
8432,16208920,Home away from home in heart of BK,entire home/apt
8433,16212767,Studio with private entrance near Central Park.,entire home/apt
8434,16214199,Nice and spacious 3BR home in Queens,entire home/apt
8435,16214854,Spacious Brooklyn Apartment for Two,private room
8436,16215826,supper sunny apt!,entire home/apt
8437,16216301,Double Guestroom 30 mins to Downtown Manhattan,private room
8438,16219145,Loft Studio in Heart of Fort Greene,entire home/apt
8439,16220849,☝ Your Sweet Suite Spot ☝,private room
8440,16221732,"A Comfortable, Cozy  Room",private room
8441,16224040,Romantic Rooftop Studio with 360 Brooklyn views!,entire home/apt
8442,16224408,Private one bedroom in Astoria (Halletts Point),private room
8443,16226066,Room near park · 2 stops to Manhattan on N/D train,private room
8444,16226219,"Williamsburg, Ground Flr Apt with Private Backyard",entire home/apt
8445,16226427,(Williamsburg) Large bedroom with private balcony,private room
8446,16227469,"HUGE Private Room, Doorman Building, quiet !",private room
8447,16228697,Beautiful brownstone in Harlem- $2.75 bus from LGA,private room
8448,16229170,big loft apartement in the Lower East Side,entire home/apt
8449,16229583,1 Bedroom in a large apartment w/ a private patio!,private room
8450,16229585,Large Duplex on the west village with  Backyard,entire home/apt
8451,16229699,Cozy Studio in the heart of Washington Square Park,entire home/apt
8452,16230255,Cozy room in the lively East Village,private room
8453,16232783,Private 1Br aparmtent on Floor 1 of my house,entire home/apt
8454,16233577,Peaches Paradise.,private room
8455,16238569,Beautiful Factory Loft in Greenpoint,entire home/apt
8456,16241319,Spacious Brooklyn 2BR house (with cat & parking!),entire home/apt
8457,16243941,Modern Authentic New York Living 1 BR Apartment,entire home/apt
8458,16244553,"Modern Private Studio for 2 in Arverne, Rockaway",entire home/apt
8459,16248277,Cozy and classic home,entire home/apt
8460,16251345,Sunny Cobble Hill 2 BR+ Cozy & Ecletic Brownstone,entire home/apt
8461,16251715,NYC from Astoria Queens,private room
8462,16251963,"Gorgeous, sunny and cozy bedroom",private room
8463,16253413,"Private Bath, Cozy Sunset Terrace Room",private room
8464,16254609,"Sunny, Spacious House by the Beach",entire home/apt
8465,16256074,Sweet cozy room in Brooklyn - East Williamsburg,private room
8466,16259438,Private Sunny Lofted Bedroom in East Williamsburg,private room
8467,16259441,#1 Ideal Williamsburg Stay -1 block from Lorimer L,private room
8468,16260353,Cozy artsy bedroom near Cloisters,private room
8469,16260496,"Spacy, sunny Brooklyn studio next to prospect park",entire home/apt
8470,16267803,Lovely and Sunny Crown Heights 1BR,entire home/apt
8471,16270389,2BR- Private Kitchen + Bathroom-20min to Manhattan,entire home/apt
8472,16271051,"Entire Unit 2BR+bathroom, 20min to Manhattan",entire home/apt
8473,16271447,"Large Windows, Plenty of Light",entire home/apt
8474,16271818,Amazing & Unique Soho/Nolita One Bedroom,entire home/apt
8475,16272419,Harlem Parkside - 1 cozy bedroom,private room
8476,16273143,Whole 2 bedrooms apartment in HK,entire home/apt
8477,16273510,Cozy Studio Near Time Square,entire home/apt
8478,16274836,Beautiful Room in Bed-Stuy w/ Bridge Theme,private room
8479,16274854,"Comfy Home, Convenient Location near Central Park",private room
8480,16274966,Artist Loft Bushwick - The Bird's Nest,private room
8481,16275030,Beautiful Bed-Stuy Room,private room
8482,16275887,MANHATTAN ROOM FOR 2 NO FEE,private room
8483,16276172,Newly Renovated with Lovely Backyard!,entire home/apt
8484,16276294,Rental in a Uptown Cozy Apartment,private room
8485,16276632,Cozy Room Family Home LGA Airport NO CLEANING FEE,private room
8486,16276834,"9B--NETFLIX, HEAT, TV, WI-FI",private room
8487,16279328,Sunny and spacious Greenpoint Artists Haven (2 br),entire home/apt
8488,16282085,Beautiful townhouse in Brooklyn NY,entire home/apt
8489,16284453,Cozy Oceanhill Room,private room
8490,16285996,Designers Dream Bed Stuy Studio,entire home/apt
8491,16287863,Bright one bedroom blocks from Barclays Center,entire home/apt
8492,16288338,"CLEAN, SAFE, PLACE; Bed-Stuy Brooklyn.",entire home/apt
8493,16288650,Bushwick Cozy Stay-- One Block From the Train!,private room
8494,16289102,"Comfy private room, great location to Manhattan",private room
8495,16289203,Huge Bedroom - East Village - NYC,private room
8496,16289476,Cozy Brooklyn Home in Crown Heights!,entire home/apt
8497,16289576,Best Location on the Upper West Side! - Part II,private room
8498,16289973,Economy private room great location to Manhattan,private room
8499,16290974,Private Room in Uptown Manhattan,private room
8500,16296071,"Charming, Sunny Studio in Williamsburg",entire home/apt
8501,16296678,Bergen street in Crown Heights - French speaking,entire home/apt
8502,16297227,True 1 BR Midtown West / Hell's Kitchen gem,entire home/apt
8503,16298763,"Spacious, Clean, Can be used as 2BR-Ridgewood,NY",entire home/apt
8504,16300644,Sunny Private Bedroom in Prime Williamsburg,private room
8505,16300982,Luxurious LES/Nolita Loft,entire home/apt
8506,16301173,LADIES ONLY!! Privacy in a shared space :),shared room
8507,16302595,Luxury 2BD in heart of Williamsburg,entire home/apt
8508,16302869,Modern & Cozy Room in Elegant Apt in Astoria,private room
8509,16308886,SUNNY 2BD W. ELEVATOR / PERFECT 4 SMALL FAMILY,entire home/apt
8510,16309329,"Cozy, private room in a 3 br in Gramercy",private room
8511,16311386,Cozy True 1BR Apartment in Noho/East Village,entire home/apt
8512,16312966,PRIVATE STUDIO WITH LOTS OF LIGHT,entire home/apt
8513,16313098,"2 bedroom apartment in Two Bridges(Chinatown, LES)",entire home/apt
8514,16313932,Micro Room A,private room
8515,16314114,Comfortable Space + Great Block + Perfect Location,private room
8516,16314267,Luxury Apt - Private room & entry!,private room
8517,16314763,CHARMING ROOM W/ ROOF DECK ACCESS 3 :),private room
8518,16314871,CHARMING COZY ROOM FOR 1 :),private room
8519,16315292,Spacious 1 bedroom in the heart of downtown NYC,entire home/apt
8520,16315491,AWESOME CHARMING ROOM C WITH ROOF DECK ACCESS :),private room
8521,16320520,Penthouse,entire home/apt
8522,16321789,Sunny Room in East Williamsburg close to L Train,private room
8523,16323227,Lovely Spacious Bedroom in Brooklyn,private room
8524,16323461,"Williamsburg Experience, Quick Manhattan Access",private room
8525,16323731,RG - Budget Friendly room in the Greenpoint area!,private room
8526,16324410,Private cozy room near LGA airport,private room
8527,16324411,Private large room near LGA airport with queen bed,private room
8528,16325276,The Fenihouse Brooklyn,entire home/apt
8529,16325781,Room at Home in Lower East Side,private room
8530,16325899,Private room near LGA Airport with queen bed,private room
8531,16330110,Stylish & Spacious Apartment,entire home/apt
8532,16331234,Bright & cozy 1BR/Balcony next to 3 subways!,entire home/apt
8533,16333075,Light filled private room in Red Hook!,private room
8534,16333607,--Into The Heart Of Greenpoint--,entire home/apt
8535,16334686,Cozy with Great location !!!!,shared room
8536,16335101,Brooklyn Style Apartment!,entire home/apt
8537,16335618,Large room with private bath & kitchen near train,entire home/apt
8538,16336497,Charming Chelsea Studio,entire home/apt
8539,16336686,Comfortable room in quite home with queen size bed,private room
8540,16336709,Private Room on Roosevelt Island,private room
8541,16337047,Comfy Bedroom in Spacious Manhattan apartment,private room
8542,16337106,Charming attic Room in Home + Backyard/Near Metro,private room
8543,16337271,"Charming Central 1- Bedroom Apartment, Gramercy",entire home/apt
8544,16339175,"Cozy, Quiet, 1 bedroom apartment - Lower East Side",entire home/apt
8545,16341416,Sunny room in BK for your NYC stay!,private room
8546,16345072,Elegant 3BR with Backyard (15 Mins to Manhattan!),entire home/apt
8547,16346527,a budget comfy room,private room
8548,16347171,Brooklyn Brownstone Serenity,entire home/apt
8549,16347965,UES Beautiful Apartment off Park Av,entire home/apt
8550,16349888,Hamilton Heights Townhouse Apartment,private room
8551,16350688,"Private Studio along the park in Greenpoint, BK",entire home/apt
8552,16351193,Cozy Attic RM in Private Home Backyard/Near Metro,private room
8553,16352250,Lavish Upscale  Room. Unforgettable.,private room
8554,16352484,Serene atmosphere in Manhattan,private room
8555,16353458,Cozy and sunny 2 BR apartment in trendy Greenpoint,entire home/apt
8556,16360002,Cozy Stylish Central Park Private Suite,private room
8557,16361439,Private Studio & Kitchen in Renovated Brownstone,entire home/apt
8558,16361717,Apartment in the heart of Williamsburg Brooklyn!,entire home/apt
8559,16362150,Bright and Cozy 1BR in Crown Heights,entire home/apt
8560,16362226,"浪漫民宿,环境优美,停车方便,独立洗手间和马桶,浴室共用｡ (Website hidden by Airbnb)",private room
8561,16363175,PENTHOUSE OASIS IN THE HEART OF CHELSEA /FLATIRON,entire home/apt
8562,16363498,Sunny and large bedroom in Williamsburg Apartment,private room
8563,16364067,Beautiful Newly Renovated BK Apt with W&D in Unit,entire home/apt
8564,16365302,Bond Street 2 bedroom 2 bath great Noho location,entire home/apt
8565,16365878,"Near the City, Classic Brooklyn!",entire home/apt
8566,16366744,Large Basement Bedroom With Kitchen,private room
8567,16366928,Bronx Beauty: Renovated historic rowhouse,private room
8568,16368328,Cozy Harlem Jewel,private room
8569,16368793,"Super Cute, Cozy, Sun-filled And Private",entire home/apt
8570,16373546,Huge full floor loft on Broadway and Bleecker,entire home/apt
8571,16374392,2 Bedrooms Entire Beautiful Apt in Williamsburg!,entire home/apt
8572,16377144,Cozy 2Bedroom Apt. in Astoria,entire home/apt
8573,16380258,MANHATTAN MODERN NEAR CENTRAL PARK!,private room
8574,16380794,Brooklyn’s lovely Luxurious Suite sleeps 5,entire home/apt
8575,16381008,Sunny Private Studio-Apartment,entire home/apt
8576,16381393,Skyline #2 view ny skyline,private room
8577,16381905,Skyline #1 view ny skyline,private room
8578,16382035,"✨Bright, spacious apartment in the West Village❤️",entire home/apt
8579,16382645,Amazing ONE bedroom. Lots of light and style,entire home/apt
8580,16393191,Interfaith Retreat Guest Rooms (Bhakti),private room
8581,16393395,Interfaith Retreats (Devotion),private room
8582,16393554,Classic Downtown Loft,entire home/apt
8583,16394576,"Master bedroom , your own bathroom in 2bed apart",private room
8584,16396119,Enjoy my apartment for the summer!,entire home/apt
8585,16396241,Williamsburg 2BR. Close to L train,entire home/apt
8586,16396753,Private room in the heart of East village,private room
8587,16403353,Bright & Sunny Oasis in East Village,entire home/apt
8588,16405036,AMAZING LOCATION - Heart of CHELSEA / Manhattan,private room
8589,16405126,Artists Bright Eclectic Home & Studio,entire home/apt
8590,16405668,"Sixth Ave Chelsea, 1bd Serviced Apartment",entire home/apt
8591,16407427,Bronx Cozy Spacious Room close to NYC Subway,private room
8592,16407461,Prospect Park Brownstone full floor w/garden,entire home/apt
8593,16409634,*BRAND NEW*4 BED DUPLX W PVT BCKYARD 15 MIN 2 CITY,entire home/apt
8594,16411398,Harlem Brownstone Retreat Suite,entire home/apt
8595,16412823,Beautiful Area. Central Park views. Classic Apt,private room
8596,16413742,Large Bushwick private bedroom,private room
8597,16414045,"Private 2 Room Guest Suite in Queens, NY",entire home/apt
8598,16414081,15 min to NYC-CITY VIEWS FROM ROOM! Safe/warm home,private room
8599,16415769,very clean and spacious,private room
8600,16416474,Sun Drenched Spacious Loft in NYCs Trendiest Hood,entire home/apt
8601,16417951,Cozy modern sunny room for 2,private room
8602,16420915,"CLASSIC NEW YORK! Heart of UWS!
CLEAN. BRIGHT. NEW",entire home/apt
8603,16422375,Nice place,entire home/apt
8604,16423080,Private Studio Apartment close to ferry and subway,entire home/apt
8605,16423876,newly renovated apt in Brooklyn!,entire home/apt
8606,16424565,Modern Apartment 7 min from JFK Airport and Casino,entire home/apt
8607,16424642,Skylight loft bed room in large artist house!,private room
8608,16424743,Garden studio w/ private entry&bath. No smokers.,private room
8609,16426099,All season studio in Astoria,entire home/apt
8610,16427742,Cozy room (1 br in a 2 br apt) Upper west side,private room
8611,16427854,Trendy 1 bedroom apartment in cool LES hood.,entire home/apt
8612,16428383,2 blocks to 2 ⭐️⭐️⭐️⭐️⭐️,entire home/apt
8613,16428954,Luxury apartment near Williamsburg & Manhattan,entire home/apt
8614,16429863,Sunny Private Bedroom in an apartment Sunnyside,private room
8615,16430924,Pacific Street Gem!!!,entire home/apt
8616,16431249,Cozy apartment in heart of Manhattan!,entire home/apt
8617,16437145,Dreamy 2BR in Architect's Brownstone,entire home/apt
8618,16437333,quaint village apartment for up to 6,entire home/apt
8619,16439426,Spacious Room in Large 2 Bedroom Prewar Apartment,private room
8620,16440192,Interfaith Retreats (Mother Theresa),private room
8621,16449169,Sunny spacious top floor of brownstone,entire home/apt
8622,16449480,Entire 1BR Apt in Manhattanville,entire home/apt
8623,16449771,"Simple, Cozy Private Room Near Beach & Subway",private room
8624,16453520,"Beautiful, cozy 1bedroom in Williamsburg",entire home/apt
8625,16454273,Entire 3rd floor of Brownstone at Prospect Park!,entire home/apt
8626,16454703,"Spacious Brooklyn, New York Retreat",entire home/apt
8627,16458046,Big Bright Room ☼ Lower East Side,private room
8628,16463445,Beautiful Apt in UES,entire home/apt
8629,16465638,Modern Apartment in Bed-Stuy,entire home/apt
8630,16466804,Gorgeous Garden Apt on Stunning Park,entire home/apt
8631,16472789,Cozy bedroom in Long Island city.,private room
8632,16475570,Spacious private room near LGA airport,private room
8633,16476956,Newly renovated & Fully Furnished Super clean,entire home/apt
8634,16478472,Designer 2-BR with Stunning Views in Williamsburg,entire home/apt
8635,16479344,Large Studio Apt in Central Harlem (Entire Apt),entire home/apt
8636,16480273,Sunny Spring Sanctuary ~ 2 Bedroom Apt.,entire home/apt
8637,16480421,Huge bedroom/private entrance/heart of Bushwick,private room
8638,16480673,Charming 1 Bdr Apt in the Heart of West Village,entire home/apt
8639,16485273,"Quiet, clean, comfortable place in upper Manhattan",entire home/apt
8640,16485990,Beautiful 2 BR apartment next to restaurants/train,entire home/apt
8641,16486996,Apartment in Park Slope / Rooftop Access,private room
8642,16487157,Great room 3 min to train 25 min to Manhattan.,shared room
8643,16488277,Your Fab Home Away from Home awaits You in NYC!!!!,entire home/apt
8644,16488787,Newly Renovated Two Bedroom one bathroom,entire home/apt
8645,16490732,Entire 3rd Fl in Brownstone steps to Prospect Park,entire home/apt
8646,16491731,1 TwinXL Bed Walk-To TIME SQUARE #ForReal,private room
8647,16493057,Artistic Union sq duplex + private roof top NYC,entire home/apt
8648,16497297,Glass factory loft,private room
8649,16499274,Two bedroom apt in Williamsburg,entire home/apt
8650,16503382,Cozy Brownstone Apartment Near City,entire home/apt
8651,16506579,Interfaith Retreats (Kirtan),private room
8652,16507002,LIC Room w/ Clean & Comfy Amenities + 6 Trains,private room
8653,16507116,"THE REAL NYC EXPERIENCE! 20 MINS TO NY, QUEEN BED",private room
8654,16507804,Spacious bedroom,private room
8655,16513101,Cool Brooklyn Flat,entire home/apt
8656,16513698,Very Big Manhattan Apartment very big Living Room,entire home/apt
8657,16514343,"Modern, Beautiful Tribeca 2-Bedroom Loft",entire home/apt
8658,16514949,1 Bedr.Apt.(1-3 guests)+Wifi-Private Bath+Kitchen,entire home/apt
8659,16517394,Private room in super location in lower Manhattan,private room
8660,16517710,UNIQUE & COZY STUDIO NEAR CENTRAL PARK,entire home/apt
8661,16519154,Sunny Modern Studio in Williamsburg,entire home/apt
8662,16520111,Sunny and Modern Beach Bungalow,entire home/apt
8663,16523132,Sunny Space in BK for your NYC stay,private room
8664,16525573,Park Avenue 1 Bedroom,entire home/apt
8665,16529755,Super cozy room !CONVENIENT,private room
8666,16529936,Sunny room in 2bed apt in East Harlem Fullsize bed,private room
8667,16530373,"Master Suite in Lovely, Sunny DUMBO Apartment",private room
8668,16530772,Lovely room 20 min to Times Square & Central Park,private room
8669,16533105,Queen bed-Close to Columbia U & Central Park,private room
8670,16533954,Brownstone Jewel in Crown Heights,entire home/apt
8671,16534156,#1 Large sunny Studio 5 blocks from CENTRAL PARK!,entire home/apt
8672,16534157,Room for one or two in  beautiful Midwood,private room
8673,16534337,Spacious Private room in Charming Williamsburg,private room
8674,16535746,"new penthouse w/ balcony,  city+waterfront views",entire home/apt
8675,16543032,❤ART of Chelsea | 1bd rm | Walk/bike everywhere!,entire home/apt
8676,16543637,"Huge Sunny Bedroom, 20 min to Times Square!",private room
8677,16544473,Stylish 1BR w/lounge or 2BR Vintage Artists Apt.,entire home/apt
8678,16545876,Astoria Ditmars Bedroom,private room
8679,16546557,1 Person Only 1 Bdrm LES HugeDeck,private room
8680,16546903,Astor Row Apartment in the Heart of Harlem <3,private room
8681,16547073,East Williamsburg private 2 bedroom apt by L train,entire home/apt
8682,16553353,❤️❤️❤️ COZY Place by the Park for ONE ❤️❤️❤️,private room
8683,16555274,It is a two bedroom apartment,entire home/apt
8684,16556049,Private Bathroom and Cozy Bedroom in Brooklyn,private room
8685,16556211,"Cozy Bedroom in Brooklyn, NY",private room
8686,16557384,Private Room in Cozy Harlem 2 Bedroom,private room
8687,16558246,Cozy studio Upper East/Manhattan,entire home/apt
8688,16565435,Light-filled South Slope Nest!,entire home/apt
8689,16568252,"Huge Fort Greene Loft, Prime!",entire home/apt
8690,16569426,Cosy  1 bed basement Apartment,entire home/apt
8691,16569554,Bright room Williamsburg off Bedford,private room
8692,16570975,Quiet room in apt Williamsburg 10 mins to City,private room
8693,16570978,JFK AIRPORT 3-BEDROOM LUXURY APT WITH FREE PARKING,entire home/apt
8694,16577736,LARGE BEAUTIFUL QUIET ROOM IN 2 STORY TOWNHOUSE,private room
8695,16578092,#2 Ideal Williamsburg - L trian Lorimer Stop!,private room
8696,16578112,City Life Minus The City Price - Flatbush Brooklyn,private room
8697,16578780,Historical Addisleigh Park NYC,private room
8698,16578826,"Harlem ""Hostel"" for Single Travelers",shared room
8699,16581779,"2BR ""Café Brooklyn"" w/private Courtyard in BedStuy",entire home/apt
8700,16585566,Quiet  Clean Private Bedroom  Brooklyn,private room
8701,16585605,Room 202,private room
8702,16586422,White space with 0min to bus stop,shared room
8703,16586785,Williamsburg Penthouse w/ Private Roof,entire home/apt
8704,16598387,"Sleeps6+PRIV.TERRACE+laundry,Trains+BAM&Barclays",entire home/apt
8705,16599323,"Studio loft, Cosy and charming with rooftop view",entire home/apt
8706,16599472,Lavish studio in Downtown Manhattan,entire home/apt
8707,16601748,"Queen Room w/ Memory Foam, In-room TV and Rooftop",private room
8708,16601801,Spacious One Bedroom in Heart of West Village,entire home/apt
8709,16601841,Great for La Guardia airport guests.,private room
8710,16603017,Sophisticated Retreat in Spacious Manhattan Apt,private room
8711,16603823,"Luxury bedroom in a Cozy, Relaxed NYC Atmosphere!",private room
8712,16604023,Rustic Modern Brooklyn Apartment,entire home/apt
8713,16604112,Cozy Private room in the heart of Jamaica New york,private room
8714,16604568,Park Slope. The best community in Brookyn NY.,private room
8715,16604913,Affordable cozy room rental in Flushing,private room
8716,16612424,Artstuy,private room
8717,16613394,"Cozy 1Br Apartment, Entire Place.",entire home/apt
8718,16613506,Upscale King Bedroom Great Neighborhood in NYC,private room
8719,16613747,"Sunny, Clean, Nice bedroom available in Bushwick",private room
8720,16614713,Brooklyn Refuge-Private Bedroom w/ Sitting Room,private room
8721,16616320,Trendy Artist Loft in Bushwick/East W'Burg,entire home/apt
8722,16616522,Large Apartment near Central Park up to 4 people!,entire home/apt
8723,16616853,Brooklyn Brownstone - Chic Garden Apartment,entire home/apt
8724,16617640,The Paris Room. Énorme! Private ROOF access!,private room
8725,16617893,Modern Loft Style Apt in trendy Brooklyn,entire home/apt
8726,16618049,"Sunny Fun Bushwick BR w/Yard, ~175ft to Subway!",private room
8727,16619241,"Cozy Studio Apartment in Queens, NY",private room
8728,16620082,"Huge room, sunlight, plants, books",private room
8729,16620235,"Full floor, Newly renovated, Brooklyn brownstone",entire home/apt
8730,16620607,Spacious and Modern 2 Bedroom Apartment,entire home/apt
8731,16627548,"""Desirable Deal on The Park""",private room
8732,16627834,"☼ Sunny, Charming Brooklyn Apt - Next to Train ☼",private room
8733,16629299,"""Oasis on The Park""",private room
8734,16630594,Private room with private entrance in Greenpoint!,private room
8735,16634459,Cozy Shared Apartment!,private room
8736,16634534,3A. Private Rm in Guesthouse Manhattan,private room
8737,16636214,Private basement bedroom with queen bed,private room
8738,16644599,Beige Room in Rego Park,private room
8739,16646872,Charming 2BR with Backyard (15 Mins to Manhattan!),entire home/apt
8740,16649739,Renovated 2 Bedroom Apartment,entire home/apt
8741,16649773,2 ROOMS: Bedroom & Study + Priv. Bath - CP North,private room
8742,16651348,1 bedroom apt with garden in Red Hook Brooklyn,entire home/apt
8743,16651519,"Newly renovated 1BR apartment, 25 min to Manhattan",entire home/apt
8744,16651879,Minimalist Vegan Room in Columbus Circle,private room
8745,16657247,1A. Private Rm in guesthouse Manhattan,private room
8746,16659292,Spacious 1 bedroom apt in Bkln w/ outdoor space,entire home/apt
8747,16659337,Spacious apartment in delightful Cobble Hill,entire home/apt
8748,16662770,Lovely Bedroom in Beautiful Brooklyn Apartment!,private room
8749,16663520,Brooklyn's Bed & Breakfast (3 BR),entire home/apt
8750,16664045,ONLY 4.4 MILES TO MIDTOWN MANHATTAN,entire home/apt
8751,16665181,Romantic hide out in brooklyn,private room
8752,16673954,Charming West Village Brownstone w/Private Terrace,entire home/apt
8753,16675965,Large and cosy apartment - Upper east!,private room
8754,16677170,Sunny Chelsea Oasis,entire home/apt
8755,16677256,Renovated 1BR Penthouse Oasis In Brownstone,entire home/apt
8756,16677866,Nice Private Studio Apartment,entire home/apt
8757,16678888,Peaceful Spacious 1 Bdrm Apt in Carroll Gardens,entire home/apt
8758,16690627,"Beautiful urban sanctuary in Park Slope, Brooklyn",entire home/apt
8759,16692402,2BEDS or DOUBLE BED (KINGSIZE) / PRIVATE BATHROOM,private room
8760,16693953,EXQUISITE TRANQUIL QUIET ROOM IN NYC,private room
8761,16697657,"NYMT60-1 LUXURY! Studio,Cozy,Gym,doorman st-6",entire home/apt
8762,16704118,Prime location 15-20mins to manhattan.nearall.C.,entire home/apt
8763,16706758,Private midtown Apt w/ shared bath,private room
8764,16706875,Spacious and cozy room 25minutes from Manhattan,private room
8765,16708692,2 Bedroom Apt.-30 secs from C train,entire home/apt
8766,16709467,2 Bedroom Loft in Clinton Hill,entire home/apt
8767,16710300,"Charming, Authentic Village Walkup",entire home/apt
8768,16716676,1.5 Bedroom in Fantastic Fort Greene!,entire home/apt
8769,16718498,"Huge Cosy Room in E.Williamsburg,Rooftop &Backyard",private room
8770,16720662,Beautiful Brooklyn 3-Bedroom Duplex,entire home/apt
8771,16721040,Beautiful Fort Greene triplex with Yard,entire home/apt
8772,16721137,Spacious Duplex Apartment in South Williamsburg,entire home/apt
8773,16722762,Cozy one bedroom apartment,entire home/apt
8774,16723682,"Cozy, sun-splashed room in two-floor apartment",private room
8775,16725576,"Room with the balcony, fits 3!",private room
8776,16725615,Quiet comfortable  near Times Sq.,private room
8777,16725924,Light up room close to Central Park,private room
8778,16726217,1 Bedroom - Beautiful and Cozy Brownstone in Bklyn,entire home/apt
8779,16730833,Underground Palace,entire home/apt
8780,16731782,"Private, Windsor Terrace Studio",entire home/apt
8781,16732266,High Ceilings steps to Barclay Cntr,entire home/apt
8782,16735133,Charming and Artsy LES 1-Bedroom,entire home/apt
8783,16735801,Twin bed-Close to Columbia U & Central Park,private room
8784,16735848,"TRAIN NEAR, 10JFK, 30LGA CuteBedr in3Bed,Manhattan",private room
8785,16736830,Modern & classic 3-BR apt in private brownstone,entire home/apt
8786,16739146,Practical Modern 2 Bedroom Apartment on Subway,entire home/apt
8787,16739891,Private Studio Apartment in a Historic Brownstone,private room
8788,16740081,Spacious & Stylish Top Floor 1BR (Whole Apt),entire home/apt
8789,16749005,Oasis Retreat Bed-Stuy Brooklyn,entire home/apt
8790,16751768,Brooklyn Pied-à-Terre 2 Bed 31 day minimum,entire home/apt
8791,16751838,"Park Avenue South, Svcd Studio Apt",entire home/apt
8792,16755891,"Hip, Vibrant, COLORFUL Downtown Manhattan 1 Bed",entire home/apt
8793,16756027,NYC Sunny Private Flat In Heart of it All.,private room
8794,16756480,Modern 2 Bed 2 Bath with private roof deck,entire home/apt
8795,16757281,"Female, Shared, Cozy, Huge Harlem Studio Apt",shared room
8796,16758426,"Charming & Modern, Comfortable & Efficient 1-BR",entire home/apt
8797,16766700,Quiet place to stay in Harlem,private room
8798,16766855,Manhattan - 15 mins to Midtown!,private room
8799,16769229,"20 min to Manhattan, Spacious 2BD in Brooklyn, NYC",entire home/apt
8800,16770311,Spacious Artist Bedroom — 30 Min to Manhattan!,private room
8801,16771876,Delight in Your Home Away from Home in NYC!,entire home/apt
8802,16772578,Cozy sunny NYC/BK view,private room
8803,16775958,The Happy Hideaway,entire home/apt
8804,16777456,Large Studio New York-Bronx comfortable,private room
8805,16777938,Clean & Large room hearth of NYC Midtown!!,private room
8806,16778711,"Luxurious & Modern, Private Deck + Great location",entire home/apt
8807,16778904,"Quiet cozy apartment, air-conditioned room",private room
8808,16779548,Empire Room in Spacious Apartment,private room
8809,16780398,Sunny private room in Homecrest Ave Brooklyn,private room
8810,16780469,Beautiful Manhattan apt. blocks from Central Park,private room
8811,16781516,Large NYC room billionaires row 5 min CentralPark!,private room
8812,16781601,Room 14,private room
8813,16783144,Wonderful island life in NYC,private room
8814,16783828,GORGEOUS Very Large Room next to Central Park!,private room
8815,16784199,Sunny And Renovated Greenwich Village Apartment!,entire home/apt
8816,16791336,Spacious Room in East Village Oasis,private room
8817,16792022,Sunny peaceful eclectic Williamsburg apartment,private room
8818,16792642,Sunny 2 bdrm Park Slope Apt w/ Yard 3min to Subway,entire home/apt
8819,16793429,COZY at MOTT,entire home/apt
8820,16793649,"Bright Modern Apt near Major Trains! A, C, J, Z, L",entire home/apt
8821,16795470,Nice bedroom. Sleeps 2.,private room
8822,16795503,Spacious Private Access Near Trains M - L and J,private room
8823,16795643,Private bedroom with queen bed and  single bed.,private room
8824,16796255,"Clean, Cozy Private Room with TV Uptown Manhattan",private room
8825,16797910,Brooklyn less than 30 min from manhattan (subway),entire home/apt
8826,16798165,Newly renovated and cozy 1-bedroom in Brooklyn,entire home/apt
8827,16805446,Perfect Cobble Hill Apartment for Two,entire home/apt
8828,16805869,Windowside Orchard Street Room in Lower East Side!,private room
8829,16807028,Sunny Ditmas Park Carriage House (Events Listing),entire home/apt
8830,16807749,Beautiful little bedroom + private living room,private room
8831,16810023,"5m walk to L, Great Location ❤️ Priv. Bath/Balcony",private room
8832,16810808,Family friendly 2 bedroom apartment on Homecrest,entire home/apt
8833,16811364,"Queen Sized Bed Townhouse Apartment, Near Subway",private room
8834,16813292,Stylish Private Room + Bath in the Heart of LES,private room
8835,16814205,Cozy Room Close to JFK!!,private room
8836,16814382,Large Room in Home with Backyard Near Metro,private room
8837,16814803,Cozy Room in Home with Backyard Near Metro,private room
8838,16815519,"Sunny, Quiet Oasis w/ Elevator - Close to Subway!",private room
8839,16821898,Big bright cozy room to call home,private room
8840,16823712,Room w/ terrace in house w/ backyard Williamsburg!,private room
8841,16824884,Amazing One Bedroom Apt,entire home/apt
8842,16828843,"Large, Sunny Studio in the heart of Chelsea.",entire home/apt
8843,16829324,✪ Stay Together in Style ✪ 2BR / 3 Bed ✪ Best Area,entire home/apt
8844,16830241,"Sunny, Modern East Village 1BR w/ 24-hr doorman",entire home/apt
8845,16843605,"Comfortable, eclectic and private apartment",entire home/apt
8846,16844707,Hudson River Aerie,private room
8847,16845648,"Bright, Beautiful 2 BD, great location UES",entire home/apt
8848,16846366,5* Brand New Luxury Apartment with Backyard Oasis,entire home/apt
